name	parent	fio	post
ТИК № 20	Санкт-Петербургская избирательная комиссия	Киселева Екатерина Николаевна	Секретарь
ТИК № 20	Санкт-Петербургская избирательная комиссия	Алексеев Дмитрий Александрович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Белянкина Екатерина Павловна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Березкина Ирина Викторовна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Данилова Любовь Анатольевна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Лиманская Ирина Григорьевна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Порталенко Игорь Николаевич	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Румянцев Сергей Александрович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Татарикова Софья Михайловна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Терехов Михаил Владимирович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Юраков Николай Васильевич	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Токарев Евгений Вадимович	Председатель
ТИК № 21	Санкт-Петербургская избирательная комиссия	Девяткин Владимир Алексеевич	Зам.председателя
ТИК № 21	Санкт-Петербургская избирательная комиссия	Вечерина Мария Евгеньевна	Секретарь
ТИК № 21	Санкт-Петербургская избирательная комиссия	Висящева Галина Дементьевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Григорьевская Светлана Васильевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Егоров Вячеслав Юрьевич	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Ивакина Наталия Николаевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Исаев Алексей Константинович	Член
